n = 10
Capacitate rucsac = 300

Iteratia 1 are rezultatele valide: 

pentru Cautare Aleatoare:

[1, 0, 0, 1, 0, 0, 0, 0, 0, 1], 85

[1, 0, 0, 1, 0, 0, 1, 1, 0, 0], 94

[0, 1, 0, 1, 1, 0, 0, 0, 0, 0], 68

[1, 1, 0, 1, 1, 1, 0, 1, 0, 1], 170

[1, 1, 1, 0, 1, 0, 0, 1, 0, 1], 227

[1, 0, 1, 0, 0, 1, 1, 1, 1, 1], 241

[0, 0, 1, 1, 0, 1, 1, 0, 0, 0], 149

[0, 1, 0, 1, 0, 0, 1, 1, 1, 0], 92

[1, 0, 1, 0, 0, 1, 1, 1, 0, 1], 221

[0, 1, 1, 0, 1, 0, 1, 1, 1, 1], 234

[0, 0, 0, 1, 0, 0, 0, 1, 1, 0], 37

[0, 1, 0, 1, 0, 1, 0, 0, 1, 0], 73

[0, 0, 0, 0, 0, 1, 1, 1, 0, 1], 89

[0, 1, 0, 1, 1, 1, 0, 0, 0, 1], 118

[0, 0, 0, 0, 1, 1, 1, 1, 0, 1], 124

[1, 1, 0, 1, 1, 1, 1, 1, 0, 0], 172

[0, 0, 0, 1, 1, 0, 1, 1, 1, 1], 134

[1, 1, 0, 1, 0, 0, 0, 0, 1, 0], 98

[1, 0, 0, 0, 0, 1, 1, 1, 0, 0], 104

[0, 1, 0, 1, 0, 1, 1, 0, 1, 0], 105

Timp de executie 0.007875500000000368 


pentru Random Hill Climbing: 
[0, 1, 1, 1, 1, 0, 0, 0, 1, 1], 282

Timp de executie 0.0010712999999999973 


Iteratia 2 are rezultatele valide: 

pentru Cautare Aleatoare:

[0, 1, 0, 1, 1, 0, 1, 1, 1, 1], 157

[1, 0, 0, 0, 1, 0, 0, 0, 0, 0], 80

[0, 1, 1, 0, 0, 0, 1, 0, 1, 0], 162

[0, 1, 0, 1, 1, 1, 1, 1, 1, 1], 177

[0, 1, 1, 1, 0, 0, 1, 0, 0, 0], 152

[0, 0, 0, 0, 1, 0, 1, 1, 1, 0], 94

[1, 1, 1, 0, 0, 1, 1, 0, 1, 1], 257

[1, 1, 0, 1, 1, 0, 0, 0, 1, 0], 133

[0, 0, 0, 0, 0, 0, 1, 0, 1, 0], 52

[0, 1, 1, 0, 1, 1, 1, 1, 0, 1], 234

[0, 1, 0, 1, 1, 1, 0, 1, 1, 1], 145

[0, 0, 1, 1, 0, 0, 0, 0, 1, 1], 147

[1, 0, 0, 0, 0, 0, 1, 1, 1, 1], 134

[0, 0, 1, 0, 0, 1, 1, 1, 0, 0], 146

[1, 1, 1, 0, 0, 1, 1, 1, 1, 1], 264

[0, 1, 1, 0, 0, 0, 1, 0, 0, 1], 172

[0, 0, 0, 0, 1, 1, 0, 0, 0, 1], 85

[1, 1, 1, 1, 0, 0, 1, 1, 0, 0], 204

[0, 0, 1, 0, 1, 0, 1, 0, 1, 0], 174

[0, 0, 0, 1, 0, 0, 0, 0, 1, 0], 30

[0, 1, 0, 1, 0, 1, 1, 1, 1, 0], 112

[1, 0, 0, 0, 1, 1, 0, 0, 0, 0], 100

[1, 1, 0, 1, 0, 0, 0, 1, 0, 0], 85

[1, 1, 0, 1, 0, 0, 1, 1, 0, 0], 117

[1, 1, 1, 1, 0, 1, 1, 0, 1, 0], 237

[0, 1, 1, 0, 0, 0, 0, 1, 0, 0], 117

[0, 0, 1, 0, 0, 0, 0, 0, 0, 0], 87

[1, 0, 1, 0, 1, 0, 0, 1, 1, 1], 224

[0, 0, 0, 1, 0, 1, 1, 1, 0, 0], 69

[1, 1, 0, 1, 1, 0, 1, 1, 0, 0], 152

[1, 0, 0, 1, 1, 0, 0, 1, 0, 0], 97

[1, 1, 1, 1, 0, 1, 0, 0, 1, 1], 235

[0, 1, 0, 0, 1, 0, 0, 1, 1, 1], 115

[0, 1, 0, 1, 1, 0, 1, 0, 1, 1], 150

[0, 1, 0, 1, 0, 0, 0, 0, 1, 0], 53

[0, 1, 1, 0, 1, 0, 1, 1, 1, 1], 234

[0, 0, 1, 1, 1, 1, 0, 1, 1, 0], 179

[0, 1, 1, 0, 0, 1, 0, 1, 0, 1], 167

[1, 1, 1, 0, 0, 1, 1, 1, 1, 0], 234

[1, 0, 1, 0, 0, 1, 1, 0, 0, 1], 214

[1, 1, 1, 0, 1, 1, 0, 0, 0, 0], 210

[0, 1, 0, 0, 0, 0, 0, 0, 0, 0], 23

[0, 0, 0, 0, 1, 0, 1, 1, 1, 0], 94

[1, 0, 1, 0, 1, 1, 0, 0, 1, 1], 237

[0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 30

[0, 1, 1, 0, 0, 1, 1, 0, 0, 0], 162

[1, 0, 0, 1, 0, 0, 0, 0, 1, 1], 105

[0, 0, 0, 1, 1, 1, 0, 0, 1, 0], 85

[0, 0, 1, 0, 1, 0, 0, 0, 1, 0], 142

[1, 0, 1, 1, 1, 0, 0, 1, 1, 0], 204

[1, 1, 1, 1, 0, 1, 0, 1, 0, 0], 192

[0, 0, 0, 1, 1, 0, 1, 0, 1, 1], 127

[0, 0, 1, 1, 0, 1, 1, 1, 1, 1], 206

[0, 1, 0, 1, 0, 1, 0, 0, 0, 1], 83

[0, 0, 0, 1, 1, 1, 0, 0, 1, 1], 115

[1, 0, 0, 1, 1, 0, 0, 0, 1, 0], 110

[1, 0, 0, 0, 1, 0, 0, 0, 1, 0], 100

[1, 1, 1, 1, 0, 1, 1, 1, 1, 1], 274

[1, 1, 1, 0, 1, 1, 0, 1, 1, 1], 267

[1, 0, 0, 0, 0, 1, 0, 0, 1, 1], 115

[0, 0, 0, 1, 0, 0, 0, 0, 0, 0], 10

[1, 1, 1, 0, 1, 0, 1, 1, 1, 0], 249

[1, 1, 0, 1, 0, 0, 0, 0, 1, 1], 128

[1, 1, 0, 1, 0, 0, 0, 1, 1, 1], 135

[1, 1, 0, 1, 0, 0, 0, 1, 0, 1], 115

[0, 0, 0, 1, 1, 0, 0, 1, 0, 1], 82

[1, 1, 1, 0, 0, 0, 0, 1, 1, 0], 182

[1, 1, 0, 1, 1, 0, 0, 0, 1, 0], 133

[0, 0, 0, 1, 1, 1, 1, 0, 0, 1], 127

[0, 0, 0, 0, 1, 1, 0, 1, 0, 1], 92

[0, 1, 0, 1, 1, 0, 0, 0, 1, 1], 118

[1, 1, 1, 1, 0, 1, 1, 1, 1, 0], 244

[0, 0, 0, 1, 0, 1, 0, 1, 1, 0], 57

[1, 0, 0, 0, 1, 0, 1, 0, 0, 0], 112

[1, 1, 1, 1, 1, 0, 0, 0, 0, 1], 230

[0, 1, 1, 1, 1, 1, 1, 1, 0, 0], 214

[1, 1, 1, 1, 0, 0, 0, 0, 0, 0], 165

[0, 1, 0, 1, 1, 1, 0, 0, 1, 0], 108

